time,rain_fall,temp,humidity,wind_direction,wind_speed,rain_now,rain_next_hour
1/9/2017 14:00,0,26.9,67.0,NA,NA,No,No
1/9/2017 15:00,0,26.2,67.0,NA,NA,No,No
1/9/2017 16:00,0,25.6,73.0,NA,NA,No,No
1/9/2017 17:00,0,24.8,79.0,NA,NA,No,No
1/9/2017 18:00,0,24.7,89.0,NA,NA,No,No
1/9/2017 19:00,0,24.6,90.0,Unknown,0,No,No
1/9/2017 20:00,0,24.6,89.0,NA,NA,No,No
1/9/2017 21:00,0,24.4,89.0,NA,NA,No,No
1/9/2017 22:00,0,24,89.0,NA,NA,No,No
1/9/2017 23:00,0,23.9,90.0,NA,NA,No,No
1/10/2017 0:00,0,23.8,93.0,NA,NA,No,No
1/10/2017 1:00,0,23.8,93.0,Unknown,0,No,No
1/10/2017 2:00,0,23.5,93.0,NA,NA,No,No
1/10/2017 3:00,0,23,92.0,NA,NA,No,Yes
1/10/2017 4:00,1.3,23,92.0,NA,NA,Yes,Yes
1/10/2017 5:00,0.3,22.8,92.0,NA,NA,Yes,Yes
1/10/2017 6:00,0.9,22.7,92.0,NA,NA,Yes,No
1/10/2017 7:00,0,22.9,88.0,WSW,1,No,No
1/10/2017 8:00,0,23.6,83.0,NA,NA,No,No
1/10/2017 9:00,0,24.8,73.0,NA,NA,No,No
1/10/2017 10:00,0,25.8,69.0,NA,NA,No,Yes
1/10/2017 11:00,0.1,27.1,68.0,NA,NA,Yes,No
1/10/2017 12:00,0,28.5,65.0,NA,NA,No,No
1/10/2017 13:00,0,28.4,63.0,SE,2,No,No
1/10/2017 14:00,0,26.8,63.0,NA,NA,No,No
1/10/2017 15:00,0,27,66.0,NA,NA,No,No
1/10/2017 16:00,0,26.8,70.0,NA,NA,No,No
1/10/2017 17:00,0,25.6,81.0,NA,NA,No,No
1/10/2017 18:00,0,24.8,86.0,NA,NA,No,No
1/10/2017 19:00,0,24.6,88.0,NE,1,No,No
1/10/2017 20:00,0,24.7,89.0,NA,NA,No,No
1/10/2017 21:00,0,24.1,89.0,NA,NA,No,Yes
1/10/2017 22:00,2.1,23.9,91.0,NA,NA,Yes,Yes
1/10/2017 23:00,3.7,23.8,93.0,NA,NA,Yes,No
1/11/2017 0:00,0,23.8,96.0,NA,NA,No,No
1/11/2017 1:00,0,23.7,95.0,Unknown,0,No,No
1/11/2017 2:00,0,23.4,95.0,NA,NA,No,No
1/11/2017 3:00,0,23.4,95.0,NA,NA,No,No
1/11/2017 4:00,0,23.5,96.0,NA,NA,No,No
1/11/2017 5:00,0,23.3,97.0,NA,NA,No,Yes
1/11/2017 6:00,0.1,23.2,91.0,NA,NA,Yes,No
1/11/2017 7:00,0,23.8,91.0,N,1,No,No
1/11/2017 8:00,0,24.8,85.0,NA,NA,No,Yes
1/11/2017 9:00,0.2,24.9,74.0,NA,NA,Yes,Yes
1/11/2017 10:00,0.7,26.3,71.0,NA,NA,Yes,No
1/11/2017 11:00,0,26.6,85.0,NA,NA,No,No
1/11/2017 12:00,0,26.6,82.0,NA,NA,No,No
1/11/2017 13:00,0,26.7,76.0,ESE,2,No,No
1/11/2017 14:00,0,26.8,77.0,NA,NA,No,No
1/11/2017 15:00,0,26.6,85.0,NA,NA,No,Yes
1/11/2017 16:00,0.1,25.7,86.0,NA,NA,Yes,No
1/11/2017 17:00,0,25.7,88.0,NA,NA,No,No
1/11/2017 18:00,0,25,89.0,NA,NA,No,No
1/11/2017 19:00,0,24.8,91.0,Unknown,0,No,No
1/11/2017 20:00,0,24.7,92.0,NA,NA,No,No
1/11/2017 21:00,0,24.6,95.0,NA,NA,No,No
1/11/2017 22:00,0,23.9,95.0,NA,NA,No,No
1/11/2017 23:00,0,23.8,94.0,NA,NA,No,No
1/12/2017 0:00,0,23.8,95.0,NA,NA,No,No
1/12/2017 1:00,0,23.7,95.0,Unknown,0,No,No
1/12/2017 2:00,0,23.7,95.0,NA,NA,No,No
1/12/2017 3:00,0,23.5,96.0,NA,NA,No,No
1/12/2017 4:00,0,23.5,96.0,NA,NA,No,No
1/12/2017 5:00,0,23.4,97.0,NA,NA,No,No
1/12/2017 6:00,0,23,97.0,NA,NA,No,No
1/12/2017 7:00,0,23.8,94.0,NW,1,No,No
1/12/2017 8:00,0,24.9,92.0,NA,NA,No,No
1/12/2017 9:00,0,26,86.0,NA,NA,No,No
1/12/2017 10:00,0,27.5,80.0,NA,NA,No,No
1/12/2017 11:00,0,28.1,78.0,NA,NA,No,No
1/12/2017 12:00,0,28.4,77.0,NA,NA,No,No
1/12/2017 13:00,0,28.3,73.0,NNE,1,No,No
1/12/2017 14:00,0,27.9,78.0,NA,NA,No,No
1/12/2017 15:00,0,27.6,79.0,NA,NA,No,No
1/12/2017 16:00,0,26.8,86.0,NA,NA,No,No
1/12/2017 17:00,0,25.8,89.0,NA,NA,No,No
1/12/2017 18:00,0,25,91.0,NA,NA,No,No
1/12/2017 19:00,0,24.6,92.0,N,1,No,No
1/12/2017 20:00,0,24.3,93.0,NA,NA,No,No
1/12/2017 21:00,0,24,93.0,NA,NA,No,No
1/12/2017 22:00,0,24,92.0,NA,NA,No,No
1/12/2017 23:00,0,24,93.0,NA,NA,No,No
1/13/2017 0:00,0,23.8,94.0,NA,NA,No,No
1/13/2017 1:00,0,23.2,96.0,NNW,1,No,No
1/13/2017 2:00,0,23,96.0,NA,NA,No,No
1/13/2017 3:00,0,22.9,97.0,NA,NA,No,No
1/13/2017 4:00,0,22.9,98.0,NA,NA,No,Yes
1/13/2017 5:00,0.7,22.9,98.0,NA,NA,Yes,Yes
1/13/2017 6:00,2,22.8,97.0,NA,NA,Yes,No
1/13/2017 7:00,0,23.8,91.0,NW,1,No,No
1/13/2017 8:00,0,24.5,78.0,NA,NA,No,No
1/13/2017 9:00,0,25.5,72.0,NA,NA,No,No
1/13/2017 10:00,0,26.4,72.0,NA,NA,No,No
1/13/2017 11:00,0,26.8,69.0,NA,NA,No,No
1/13/2017 12:00,0,27.2,70.0,NA,NA,No,No
1/13/2017 13:00,0,26.1,67.0,NNE,3,No,No
1/13/2017 14:00,0,25.6,72.0,NA,NA,No,No
1/13/2017 15:00,0,24.5,72.0,NA,NA,No,No
1/13/2017 16:00,0,23.5,81.0,NA,NA,No,No
1/13/2017 17:00,0,22.9,88.0,NA,NA,No,No
1/13/2017 18:00,0,22.5,90.0,NA,NA,No,No
1/13/2017 19:00,0,21.9,92.0,NNW,2,No,No
1/13/2017 20:00,0,21.8,93.0,NA,NA,No,No
1/13/2017 21:00,0,21.9,92.0,NA,NA,No,No
1/13/2017 22:00,0,21.7,92.0,NA,NA,No,No
1/13/2017 23:00,0,21.6,93.0,NA,NA,No,No
1/14/2017 0:00,0,21.4,94.0,NA,NA,No,No
1/14/2017 1:00,0,21.3,94.0,NNW,2,No,No
1/14/2017 2:00,0,21.3,93.0,NA,NA,No,No
1/14/2017 3:00,0,21.4,94.0,NA,NA,No,No
1/14/2017 4:00,0,21.4,94.0,NA,NA,No,No
1/14/2017 5:00,0,21.4,94.0,NA,NA,No,No
1/14/2017 6:00,0,21.6,93.0,NA,NA,No,No
1/14/2017 7:00,0,22.1,84.0,N,1,No,No
1/14/2017 8:00,0,22.9,76.0,NA,NA,No,No
1/14/2017 9:00,0,23.2,73.0,NA,NA,No,No
1/14/2017 10:00,0,23.8,71.0,NA,NA,No,No
1/14/2017 11:00,0,23.7,68.0,NA,NA,No,Yes
1/14/2017 12:00,0.6,23.1,67.0,NA,NA,Yes,Yes
1/14/2017 13:00,0.2,22.8,69.0,NW,2,Yes,No
1/14/2017 14:00,0,22.8,69.0,NA,NA,No,Yes
1/14/2017 15:00,0.5,22.8,73.0,NA,NA,Yes,Yes
1/14/2017 16:00,0.5,22.6,79.0,NA,NA,Yes,Yes
1/14/2017 17:00,0.3,21.9,88.0,NA,NA,Yes,Yes
1/14/2017 18:00,0.4,21.7,91.0,NA,NA,Yes,Yes
1/14/2017 19:00,0.1,21.8,93.0,NW,1,Yes,Yes
1/14/2017 20:00,1.6,21.6,93.0,NA,NA,Yes,Yes
1/14/2017 21:00,0.9,21.4,93.0,NA,NA,Yes,Yes
1/14/2017 22:00,0.2,21.3,94.0,NA,NA,Yes,Yes
1/14/2017 23:00,0.4,21.4,95.0,NA,NA,Yes,Yes
1/15/2017 0:00,0.1,21.7,94.0,NA,NA,Yes,Yes
1/15/2017 1:00,0.2,21.7,96.0,NW,2,Yes,Yes
1/15/2017 2:00,2.3,21.3,97.0,NA,NA,Yes,No
1/15/2017 3:00,0,21.2,97.0,NA,NA,No,Yes
1/15/2017 4:00,0.1,21.4,97.0,NA,NA,Yes,Yes
